date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:09:20	124364/124364	---MCZ	200	added ('OK')	application/javascript	etag:W/%2279c8063d32a676c6e943229ec6410fb3%22	https://aplicativospypro.vercel.app/_next/static/chunks/117-21fd3f4fd58369b8.js	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/_next/static/chunks/117-21fd3f4fd58369b8.js	(from https://aplicativospypro.vercel.app/)
18:09:20	461/461	---M--	200	added ('OK')	application/javascript	etag:%22c99dc6974bed49baaa682be916d481c8%22	https://aplicativospypro.vercel.app/_next/static/chunks/main-app-b840e258ff6945a0.js	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/_next/static/chunks/main-app-b840e258ff6945a0.js	(from https://aplicativospypro.vercel.app/)
18:09:21	24361/24361	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a77eb70ede93e96d8eef7db1505d72e8%22	https://aplicativospypro.vercel.app/_next/static/chunks/883-019349fea2744b8a.js	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/_next/static/chunks/883-019349fea2744b8a.js	(from https://aplicativospypro.vercel.app/)
18:09:21	27111/27111	---MCZ	200	added ('OK')	application/javascript	etag:W/%225499630fadf09b9c55337e78eaa0c298%22	https://aplicativospypro.vercel.app/_next/static/chunks/app/page-5addd5e307134dff.js	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/_next/static/chunks/app/page-5addd5e307134dff.js	(from https://aplicativospypro.vercel.app/)
18:09:22	354310/354310	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2005%20Jan%202026%2021:09:09%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/Spy/connect.facebook.net/en_US/fbevents.js	(from https://aplicativospypro.vercel.app/)
18:09:22	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%227b38a2d0cd705066e9e7c9be8720c5ea%22	https://aplicativospypro.vercel.app/_next/static/chunks/polyfills-42372ed130431b0a.js	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://aplicativospypro.vercel.app/)
18:09:22	13811/13811	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22d2fda636e547adec181c79a58c1fc568%22	https://aplicativospypro.vercel.app/t	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/t.e.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
18:09:23	129/129	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2005%20Jan%202026%2021:09:10%20GMT	https://aplicativospypro.vercel.app/signals/config/	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/signals/config/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
18:09:23	13811/13811	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22d2fda636e547adec181c79a58c1fc568%22	https://aplicativospypro.vercel.app/e	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/e.f.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
18:09:23	130/130	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2005%20Jan%202026%2021:09:11%20GMT	https://aplicativospypro.vercel.app/signals/plugins/	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/signals/plugins/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
18:09:23	125/125	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2005%20Jan%202026%2021:09:11%20GMT	https://aplicativospypro.vercel.app/schema.org/	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
18:09:23	13811/13811	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22d2fda636e547adec181c79a58c1fc568%22	https://aplicativospypro.vercel.app/t.resolvedLink	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/t.10.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
18:09:24	13811/13811	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22d2fda636e547adec181c79a58c1fc568%22	https://aplicativospypro.vercel.app/o	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/o.11.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
18:09:24	13811/13811	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22d2fda636e547adec181c79a58c1fc568%22	https://aplicativospypro.vercel.app/signals/iwl.js	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/signals/iwl.12.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
18:09:24	13811/13811	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22d2fda636e547adec181c79a58c1fc568%22	https://aplicativospypro.vercel.app/signals/iwl.js?pixel_id=	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/signals/iwl.130fc5.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
18:09:25	13811/13811	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22d2fda636e547adec181c79a58c1fc568%22	https://aplicativospypro.vercel.app/r.dl	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/r.14.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
18:09:25	13811/13811	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22d2fda636e547adec181c79a58c1fc568%22	https://aplicativospypro.vercel.app/r.rl	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/r.15.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
18:09:26	13811/13811	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22d2fda636e547adec181c79a58c1fc568%22	https://aplicativospypro.vercel.app/signals/config	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/signals/config.16.delayed	(from https://aplicativospypro.vercel.app/signals/config/)
18:09:26	13811/13811	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22d2fda636e547adec181c79a58c1fc568%22	https://aplicativospypro.vercel.app/signals/plugins	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/signals/plugins.17.delayed	(from https://aplicativospypro.vercel.app/signals/plugins/)
18:09:26	13811/13811	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22d2fda636e547adec181c79a58c1fc568%22	https://aplicativospypro.vercel.app/schema.org	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/schema.18.delayed	(from https://aplicativospypro.vercel.app/schema.org/)
